movieId,title,genres,imdbId,tmdbId,rating
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,7.971
2,Jumanji,Adventure|Children|Fantasy,113497,8844.0,7.24
3,Grumpier Old Men,Comedy|Romance,113228,15602.0,6.5
4,Waiting to Exhale,Comedy|Drama|Romance,114885,31357.0,6.3
5,Father of the Bride Part II,Comedy,113041,11862.0,6.249
6,Heat,Action|Crime|Thriller,113277,949.0,7.916
7,Sabrina,Comedy|Romance,114319,11860.0,6.16
8,Tom and Huck,Adventure|Children,112302,45325.0,5.268
9,Sudden Death,Action,114576,9091.0,5.976
10,GoldenEye,Action|Adventure|Thriller,113189,710.0,6.893
11,"American President, The",Comedy|Drama|Romance,112346,9087.0,6.539
12,Dracula: Dead and Loving It,Comedy|Horror,112896,12110.0,6.07
13,Balto,Adventure|Animation|Children,112453,21032.0,7.298
14,Nixon,Drama,113987,10858.0,6.906
15,Cutthroat Island,Action|Adventure|Romance,112760,1408.0,5.8
16,Casino,Crime|Drama,112641,524.0,8.0
17,Sense and Sensibility,Drama|Romance,114388,4584.0,7.43
18,Four Rooms,Comedy,113101,5.0,5.827
19,Ace Ventura: When Nature Calls,Comedy,112281,9273.0,6.311
20,Money Train,Action|Comedy|Crime|Drama|Thriller,113845,11517.0,5.8
21,Get Shorty,Comedy|Crime|Thriller,113161,8012.0,6.463
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,6.5
23,Assassins,Action|Crime|Thriller,112401,9691.0,6.472
24,Powder,Drama|Sci-Fi,114168,12665.0,6.989
25,Leaving Las Vegas,Drama|Romance,113627,451.0,7.26
26,Othello,Drama,114057,16420.0,6.422
27,Now and Then,Children|Drama,114011,9263.0,6.9
28,Persuasion,Drama|Romance,114117,17015.0,7.077
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,7.257
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,115012,37557.0,6.762
31,Dangerous Minds,Drama,112792,9909.0,7.0
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,114746,63.0,7.602
33,Wings of Courage,Adventure|Romance|IMAX,114952,78802.0,6.9
34,Babe,Children|Drama,112431,9598.0,6.22
35,Carrington,Drama|Romance,112637,47018.0,6.221
36,Dead Man Walking,Crime|Drama,112818,687.0,7.326
37,Across the Sea of Time,Documentary|IMAX,112286,139405.0,5.2
38,It Takes Two,Children|Comedy,113442,33689.0,6.495
39,Clueless,Comedy|Romance,112697,9603.0,7.276
40,"Cry, the Beloved Country",Drama,112749,34615.0,6.7
41,Richard III,Drama|War,114279,31174.0,6.751
42,Dead Presidents,Action|Crime|Drama,112819,11443.0,6.641
43,Restoration,Drama,114272,35196.0,6.055
44,Mortal Kombat,Action|Adventure|Fantasy,113855,9312.0,5.841
45,To Die For,Comedy|Drama|Thriller,114681,577.0,6.58
46,How to Make an American Quilt,Drama|Romance,113347,11861.0,6.41
47,Seven (a.k.a. Se7en),Mystery|Thriller,114369,807.0,8.373
48,Pocahontas,Animation|Children|Drama|Musical|Romance,114148,10530.0,6.926
49,When Night Is Falling,Drama|Romance,114916,8391.0,6.217
50,"Usual Suspects, The",Crime|Mystery|Thriller,114814,629.0,8.187
51,Guardian Angel,Action|Drama|Thriller,109950,117164.0,4.9
52,Mighty Aphrodite,Comedy|Drama|Romance,113819,11448.0,6.715
53,Lamerica,Adventure|Drama,110299,49133.0,7.2
54,"Big Green, The",Children|Comedy,112499,26441.0,5.5
55,Georgia,Drama,113158,97406.0,5.846
56,Kids of the Round Table,Adventure|Children|Fantasy,113541,124057.0,4.7
57,Home for the Holidays,Drama,113321,9089.0,6.3
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,110877,11010.0,7.936
59,"Confessional, The (Confessionnal, Le)",Drama|Mystery,112714,99040.0,6.4
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,113419,11359.0,6.5
61,Eye for an Eye,Drama|Thriller,116260,17182.0,6.1
62,Mr. Holland's Opus,Drama,113862,2054.0,6.958
