movieId,title,genres,imdbId,tmdbId,rating,year
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,7.971,1995
2,Jumanji,Adventure|Children|Fantasy,113497,8844.0,7.24,1995
3,Grumpier Old Men,Comedy|Romance,113228,15602.0,6.5,1995
4,Waiting to Exhale,Comedy|Drama|Romance,114885,31357.0,6.3,1995
5,Father of the Bride Part II,Comedy,113041,11862.0,6.249,1995
6,Heat,Action|Crime|Thriller,113277,949.0,7.916,1995
7,Sabrina,Comedy|Romance,114319,11860.0,6.16,1995
8,Tom and Huck,Adventure|Children,112302,45325.0,5.268,1995
9,Sudden Death,Action,114576,9091.0,5.976,1995
10,GoldenEye,Action|Adventure|Thriller,113189,710.0,6.893,1995
11,"American President, The",Comedy|Drama|Romance,112346,9087.0,6.539,1995
12,Dracula: Dead and Loving It,Comedy|Horror,112896,12110.0,6.07,1995
13,Balto,Adventure|Animation|Children,112453,21032.0,7.298,1995
14,Nixon,Drama,113987,10858.0,6.906,1995
15,Cutthroat Island,Action|Adventure|Romance,112760,1408.0,5.8,1995
16,Casino,Crime|Drama,112641,524.0,8.0,1995
17,Sense and Sensibility,Drama|Romance,114388,4584.0,7.43,1995
18,Four Rooms,Comedy,113101,5.0,5.827,1995
19,Ace Ventura: When Nature Calls,Comedy,112281,9273.0,6.311,1995
20,Money Train,Action|Comedy|Crime|Drama|Thriller,113845,11517.0,5.8,1995
21,Get Shorty,Comedy|Crime|Thriller,113161,8012.0,6.463,1995
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,6.5,1995
23,Assassins,Action|Crime|Thriller,112401,9691.0,6.472,1995
24,Powder,Drama|Sci-Fi,114168,12665.0,6.989,1995
25,Leaving Las Vegas,Drama|Romance,113627,451.0,7.26,1995
26,Othello,Drama,114057,16420.0,6.422,1995
27,Now and Then,Children|Drama,114011,9263.0,6.9,1995
28,Persuasion,Drama|Romance,114117,17015.0,7.077,1995
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,7.257,1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,115012,37557.0,6.762,1995
31,Dangerous Minds,Drama,112792,9909.0,7.0,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,114746,63.0,7.602,1995
33,Wings of Courage,Adventure|Romance|IMAX,114952,78802.0,6.9,1995
34,Babe,Children|Drama,112431,9598.0,6.22,1995
35,Carrington,Drama|Romance,112637,47018.0,6.221,1995
36,Dead Man Walking,Crime|Drama,112818,687.0,7.326,1995
37,Across the Sea of Time,Documentary|IMAX,112286,139405.0,5.2,1995
38,It Takes Two,Children|Comedy,113442,33689.0,6.495,1995
39,Clueless,Comedy|Romance,112697,9603.0,7.276,1995
40,"Cry, the Beloved Country",Drama,112749,34615.0,6.7,1995
41,Richard III,Drama|War,114279,31174.0,6.751,1995
42,Dead Presidents,Action|Crime|Drama,112819,11443.0,6.641,1995
43,Restoration,Drama,114272,35196.0,6.055,1995
44,Mortal Kombat,Action|Adventure|Fantasy,113855,9312.0,5.841,1995
45,To Die For,Comedy|Drama|Thriller,114681,577.0,6.58,1995
46,How to Make an American Quilt,Drama|Romance,113347,11861.0,6.41,1995
47,Seven (a.k.a. Se7en),Mystery|Thriller,114369,807.0,8.373,1995
48,Pocahontas,Animation|Children|Drama|Musical|Romance,114148,10530.0,6.926,1995
49,When Night Is Falling,Drama|Romance,114916,8391.0,6.217,1995
50,"Usual Suspects, The",Crime|Mystery|Thriller,114814,629.0,8.187,1995
51,Guardian Angel,Action|Drama|Thriller,109950,117164.0,4.9,1994
52,Mighty Aphrodite,Comedy|Drama|Romance,113819,11448.0,6.715,1995
53,Lamerica,Adventure|Drama,110299,49133.0,7.2,1994
54,"Big Green, The",Children|Comedy,112499,26441.0,5.5,1995
55,Georgia,Drama,113158,97406.0,5.846,1995
56,Kids of the Round Table,Adventure|Children|Fantasy,113541,124057.0,4.7,1995
57,Home for the Holidays,Drama,113321,9089.0,6.3,1995
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,110877,11010.0,7.936,1994
59,"Confessional, The (Confessionnal, Le)",Drama|Mystery,112714,99040.0,6.4,1995
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,113419,11359.0,6.5,1995
61,Eye for an Eye,Drama|Thriller,116260,17182.0,6.1,1996
62,Mr. Holland's Opus,Drama,113862,2054.0,6.958,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,116126,10607.0,6.986,1996
64,Two if by Sea,Comedy|Romance,118002,19760.0,4.8,1996
65,Bio-Dome,Comedy,115683,9536.0,4.534,1996
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,116839,11525.0,2.966,1996
67,Two Bits,Drama,114753,40628.0,5.7,1995
68,French Twist (Gazon maudit),Comedy|Romance,113149,4482.0,6.1,1995
69,Friday,Comedy,113118,10634.0,7.16,1995
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,116367,755.0,7.023,1996
71,Fair Game,Action,113010,11859.0,5.0,1995
72,Kicking and Screaming,Comedy|Drama,113537,28387.0,6.2,1995
73,"Misérables, Les",Drama|War,113828,48750.0,6.8,1995
74,Bed of Roses,Drama|Romance,115644,20927.0,5.844,1996
75,Big Bully,Comedy|Drama,115676,36929.0,4.6,1996
76,Screamers,Action|Sci-Fi|Thriller,114367,9102.0,6.2,1995
77,Nico Icon,Documentary,113973,124626.0,7.2,1995
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,112744,27526.0,6.041,1995
79,"Juror, The",Drama|Thriller,116731,9623.0,5.587,1996
80,"White Balloon, The (Badkonake sefid)",Children|Drama,112445,46785.0,7.5,1995
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,114660,400.0,6.501,1995
82,Antonia's Line (Antonia),Comedy|Drama,112379,880.0,7.1,1995
83,Once Upon a Time... When We Were Colored,Drama|Romance,114039,146599.0,4.2,1995
84,Last Summer in the Hamptons,Comedy|Drama,113612,188588.0,5.5,1995
85,Angels and Insects,Drama|Romance,112365,8447.0,6.4,1995
86,White Squall,Action|Adventure|Drama,118158,10534.0,6.263,1996
87,Dunston Checks In,Children|Comedy,116151,17414.0,5.428,1996
88,Black Sheep,Comedy,115697,13997.0,5.984,1996
89,Nick of Time,Action|Thriller,113972,2086.0,6.211,1995
90,"Journey of August King, The",Drama,113490,61548.0,6.7,1995
92,Mary Reilly,Drama|Horror|Thriller,117002,9095.0,5.786,1996
93,Vampire in Brooklyn,Comedy|Horror|Romance,114825,12158.0,5.056,1995
94,Beautiful Girls,Comedy|Drama|Romance,115639,9283.0,6.63,1996
95,Broken Arrow,Action|Adventure|Thriller,115759,9208.0,6.043,1996
96,In the Bleak Midwinter,Comedy|Drama,113403,40154.0,7.0,1995
97,"Hate (Haine, La)",Crime|Drama,113247,406.0,8.093,1995
98,Shopping,Action|Thriller,111173,45549.0,5.4,1994
99,Heidi Fleiss: Hollywood Madam,Documentary,113283,63076.0,6.6,1995
100,City Hall,Drama|Thriller,115907,11062.0,5.91,1996
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,115734,13685.0,6.717,1996
102,Mr. Wrong,Comedy,117102,47475.0,4.0,1996
103,Unforgettable,Mystery|Sci-Fi|Thriller,118040,2045.0,5.576,1996
104,Happy Gilmore,Comedy,116483,9614.0,6.632,1996
105,"Bridges of Madison County, The",Drama|Romance,112579,688.0,7.706,1995
106,Nobody Loves Me (Keiner liebt mich),Comedy|Drama,110251,11907.0,6.2,1994
107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,117110,10874.0,6.641,1996
108,Catwalk,Documentary,112646,89333.0,7.5,1996
109,Headless Body in Topless Bar,Comedy|Drama|Thriller,113276,96357.0,2.0,1995
110,Braveheart,Action|Drama|War,112573,197.0,7.94,1995
111,Taxi Driver,Crime|Drama|Thriller,75314,103.0,8.152,1976
112,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,113326,33542.0,6.8,1995
113,Before and After,Drama|Mystery,115645,43566.0,5.907,1996
114,Margaret's Museum,Drama,113774,71754.0,6.6,1995
115,"Happiness Is in the Field (Bonheur est dans le pré, Le)",Comedy,112556,43612.0,6.876,1995
116,Anne Frank Remembered,Documentary,112373,51352.0,7.7,1995
117,"Young Poisoner's Handbook, The",Crime|Drama,115033,16934.0,6.635,1995
